2017,,,2017 ILO Labor Index Scores,,,Coordinates,,2020 Working Poverty Rates,,
Country*,M49 code,ISO-alpha3 code,Overall,In law,In Practice,Latitude,Longitude,Extremely Poor,Moderately Poor,Near Poor
Albania,8,ALB,2.21,1.22,2.28,41,20,0.04,2.26,17.41
Algeria,12,DZA,5.79,4.08,5.09,28,3,0.09,0.99,13.43
Angola,24,AGO,3.17,3.62,1.41,-12.5,18.5,51.89,21.17,16.17
Argentina,32,ARG,4.95,1.93,5.92,-34,-64,0.45,1.54,5.75
Armenia,51,ARM,1.78,1.66,1.16,40,45,0.36,5.28,32.58
Azerbaijan,31,AZE,2.21,1.19,2.31,40.5,47.5,0.1,0.1,0.09
Bangladesh,50,BGD,8.36,7.57,5.67,24,90,4.04,25.19,39.82
Belarus,112,BLR,5.21,3.13,5.11,53,28,0.1,0.1,0.1
Belize,84,BLZ,2.60,2.91,1.21,17.25,-88.75,13.39,17.01,22.12
Benin,204,BEN,3.68,4.03,1.80,9.5,2.25,37.32,27.37,21.66
Bolivia (Plurinational State of),68,BOL,3.49,4.33,1.20,-17,-65,4.43,3.28,10.49
Bosnia and Herzegovina,70,BIH,2.35,1.12,2.60,44,18,0.1,0.08,0.81
Botswana,72,BWA,4.33,6.32,0.53,-22,24,9.6,19.32,21.85
Brazil,76,BRA,4.24,3.05,3.67,-10,-55,1.83,2.44,6.39
Burkina Faso,854,BFA,1.99,1.97,1.18,13,-2,31.24,35.94,20.4
Burundi,108,BDI,3.69,5.61,0.24,-3.5,30,79.39,14.16,5.25
Cabo Verde,132,CPV,0.47,0.51,0.24,16,-24,0.4,7.89,22.14
Cambodia,116,KHM,6.16,4.86,4.90,13,105,9.22,33.74,33.68
Cameroon,120,CMR,5.24,3.89,4.42,6,12,21.33,19.86,23.95
Central African Republic,140,CAF,2.11,3.34,0.00,7,21,63.48,18.18,10.7
Chad,148,TCD,2.19,1.99,1.48,15,19,42.67,27.52,17.81
Chile,152,CHL,2.91,2.54,2.07,-30,-71,0.06,0.22,0.9
China,156,CHN,5.71,4.73,4.31,35,105,0.23,1.58,6.74
Colombia,170,COL,6.35,2.31,7.75,4,-72,2.44,5.19,13.28
Comoros,174,COM,1.73,2.20,0.55,-12.1667,44.25,15.21,18.11,23.72
Congo,178,COG,1.63,1.99,0.59,-1,15,59.26,20.38,13.25
Costa Rica,188,CRI,2.73,1.70,2.63,10,-84,0.31,0.98,4
Côte d'Ivoire,384,CIV,2.60,1.43,2.69,8,-5,19.96,26.26,25.86
Democratic Republic of the Congo,180,COD,5.01,3.76,4.17,0,25,68.83,17.38,9.42
Dominican Republic,214,DOM,3.09,2.58,2.31,19,-70.6667,0.28,0.46,8.41
Ecuador,218,ECU,6.06,5.40,4.19,-2,-77.5,4.5,6.11,15.76
Egypt,818,EGY,7.48,6.12,5.73,27,30,1.75,22.43,44.89
El Salvador,222,SLV,4.99,3.98,3.92,13.8333,-88.9167,0.46,2.93,14.68
Ethiopia,231,ETH,3.31,3.75,1.49,8,38,18.35,30.88,34.83
Fiji,242,FJI,5.57,5.72,3.10,-18,175,0.18,4.02,24.83
Gabon,266,GAB,2.07,0.61,2.67,-1,11.75,1.61,4.27,16.11
Gambia,270,GMB,1.28,2.02,0.00,13.4667,-16.5667,7.28,21.88,34.28
Georgia,268,GEO,3.63,2.75,3.00,42,43.5,2.47,8.6,24.45
Ghana,288,GHA,2.54,2.54,1.48,8,-2,7.92,12.28,23.01
Guatemala,320,GTM,6.51,3.74,6.57,15.5,-90.25,3.16,9.5,19.24
Guinea,324,GIN,2.74,1.90,2.44,11,-10,23.29,29.91,29.9
Guinea-Bissau,624,GNB,3.18,3.62,1.42,12,-15,61.26,19.47,10.84
Guyana,328,GUY,1.08,1.13,0.58,5,-59,1.06,0.38,3.84
Haiti,332,HTI,4.76,3.36,4.18,19,-72.4167,20.31,22.22,29.98
Honduras,340,HND,5.51,3.41,5.32,15,-86.5,12.52,13.27,18.75
India,356,IND,6.47,6.65,3.60,20,77,7.62,30.2,35.31
Indonesia,360,IDN,5.84,4.70,4.55,-5,120,2.91,16.35,29.56
Iran (Islamic Republic of),364,IRN,6.07,4.72,4.89,32,53,0.21,1.08,6.66
Iraq,368,IRQ,3.20,3.82,1.24,33,44,0.71,9.34,36.65
Jamaica,388,JAM,2.93,3.14,1.51,18.25,-77.5,1.1,6.35,19.85
Jordan,400,JOR,3.86,4.34,1.77,31,36,0.08,1.09,9.51
Kazakhstan,398,KAZ,3.71,3.77,2.11,48,68,0.09,0.04,1.72
Kenya,404,KEN,3.98,4.84,1.47,1,38,26.43,29.32,24.56
Kyrgyzstan,417,KGZ,1.64,1.42,1.18,41,75,0.3,8.08,43.27
Lao People's Democratic Republic,418,LAO,4.33,5.33,1.52,18,105,9.27,24.43,32.71
Lebanon,422,LBN,4.04,5.19,1.21,33.8333,35.8333,0.1,0.48,2.98
Lesotho,426,LSO,1.99,2.59,0.57,-29.5,28.5,19.71,22.35,27.07
Liberia,430,LBR,1.69,1.19,1.49,6.5,-9.5,50.84,27.72,15.64
Madagascar,450,MDG,3.42,3.40,2.02,-20,47,76.09,14.52,6.87
Malawi,454,MWI,1.11,1.48,0.27,-13.5,34,64.97,22.48,8.85
Malaysia,458,MYS,6.31,6.99,3.01,2.5,112.5,0.09,0.04,0.8
Maldives,462,MDV,3.52,4.03,1.54,3.25,73,0.09,0.19,1.77
Mali,466,MLI,3.93,5.06,1.16,17,-4,45.24,31.9,17.06
Mauritania,478,MRT,4.38,5.20,1.75,20,-12,3.36,14.45,31.81
Mauritius,480,MUS,3.80,2.53,3.48,-20.2833,57.55,0.07,1.28,8.35
Mexico,484,MEX,4.13,3.34,3.21,23,-102,0.65,4.61,18.28
Mongolia,496,MNG,1.45,0.55,1.75,46,105,0.12,1.4,16.86
Montenegro**,499,MNE,1.77,1.38,1.42,42,19,0.73,1.49,5.57
Morocco,504,MAR,4.43,4.35,2.66,32,-5,0.15,5.03,19.41
Mozambique,508,MOZ,2.74,3.50,0.83,-18.25,35,60.69,19.67,9.97
Myanmar,104,MMR,4.18,4.27,2.35,22,98,1.3,11.4,36.44
Namibia,516,NAM,2.17,2.59,0.85,-22,17,12.45,10.25,16.48
Nepal,524,NPL,4.15,5.45,1.12,28,84,3.37,23.42,37.05
Nicaragua,558,NIC,2.21,0.85,2.65,13,-85,2.47,7.82,20.37
Niger,562,NER,2.63,2.31,1.85,16,8,38.6,33.81,19.15
Nigeria,566,NGA,6.32,6.61,3.39,10,8,34.89,31.04,22.58
North Macedonia,807,MKD,1.60,1.09,1.44,41.8333,22,1.02,1.37,7.31
Pakistan,586,PAK,7.78,8.17,4.16,30,70,3.68,29.52,41.37
Panama,591,PAN,4.34,4.82,2.06,9,-80,0.57,1.86,5.2
Papua New Guinea,598,PNG,2.00,2.57,0.60,-6,147,24.03,23.98,26.18
Paraguay,600,PRY,4.51,3.91,3.24,-23,-58,0.3,1.48,7.96
Peru,604,PER,6.77,4.53,6.20,-10,-76,2.86,6.57,13.51
Philippines,608,PHL,7.34,4.90,6.72,13,122,2.75,18.39,32.27
Republic of Korea,410,KOR,7.34,5.93,5.70,#N/A,127.5,0,0.02,0.27
Republic of Moldova,498,MDA,2.15,1.97,1.45,47,29,0.09,0.35,4.88
Russian Federation,643,RUS,4.11,4.43,2.08,60,100,0.01,0.12,1.19
Rwanda,646,RWA,3.81,4.30,1.73,-2,30,46.51,27.24,15.68
Senegal,686,SEN,4.70,5.10,2.35,14,-14,30.09,26.48,23.27
Serbia*,688,SRB,2.34,3.11,0.61,44,21,0.1,0.17,2.37
Sierra Leone,694,SLE,2.29,3.63,0.00,8.5,-11.5,43.38,32.23,15.94
Solomon Islands,090,SLB,2.93,4.34,0.29,-8,159,23.45,33.2,27.08
South Africa,710,ZAF,2.47,1.45,2.46,-29,24,7.71,12.4,17.69
Sri Lanka,144,LKA,4.23,4.02,2.68,7,81,0.21,7.15,26.93
Sudan,729,SDN,5.07,6.50,1.53,15,30,12.03,31.1,33.51
Suriname,740,SUR,0.55,0.00,0.87,4,-56,16.87,12.56,14.74
Syrian Arab Republic,760,SYR,3.35,4.06,1.24,35,38,38.61,28.54,18.63
Tajikistan,762,TJK,0.91,0.84,0.60,39,71,1.37,6.11,23.27
Thailand,764,THA,6.53,6.69,3.65,15,100,0.1,0.16,5.36
Timor-Leste,626,TLS,0.70,0.81,0.30,-8.55,125.5167,22.58,43.05,26.73
Togo,768,TGO,0.73,1.15,0.00,8,1.1667,34.51,25.06,22.78
Trinidad and Tobago,780,TTO,3.08,4.61,0.27,11,-61,0.09,0.42,2.71
Tunisia,788,TUN,3.13,3.18,1.77,34,9,0.09,1.05,9.69
Turkey,792,TUR,5.39,5.59,2.94,39,35,0.09,0.23,6.49
Turkmenistan,795,TKM,2.26,2.62,0.96,40,60,0.52,2.59,17.32
Uganda,800,UGA,2.92,3.20,1.43,1,32,34.01,30.05,20.13
Ukraine,804,UKR,3.71,2.36,3.52,49,32,0.09,0.08,0.34
United Republic of Tanzania,834,TZA,4.59,5.42,1.85,-6,35,48.45,27.33,15.33
Uruguay,858,URY,1.48,0.82,1.53,-33,-56,0.03,0.17,0.99
Uzbekistan,860,UZB,3.10,3.13,1.79,41,64,6.51,23.38,37.71
Venezuela,862,VEN,6.05,3.68,5.91,8,-66,26.84,23.42,26.64
Viet Nam,704,VNM,4.46,5.79,1.26,16,106,1.23,4.64,11.93
Yemen,887,YEM,2.01,2.60,0.59,15,48,52.58,24.1,12.12
Zambia,894,ZMB,4.20,6.06,0.60,-15,30,55.86,16.83,13.56
Zimbabwe,716,ZWE,7.13,6.56,4.73,-20,30,38.63,24.32,19.48
